Dividing Wavelength (nm)	Blue Motor Position (mm)	Red Motor Position (mm)	
406.000000	39.000066	0.000000
406.100000	38.973847	0.000000
406.200000	38.947628	0.000000
406.300000	38.921408	0.000000
406.400000	38.895186	0.000000
406.500000	38.868964	0.000000
406.600000	38.842740	0.000000
406.700000	38.816515	0.000000
406.800000	38.790289	0.000000
406.900000	38.764062	0.000000
407.000000	38.737834	0.000000
407.100000	38.711604	0.000000
407.200000	38.685374	0.000000
407.300000	38.659142	0.000000
407.400000	38.632910	0.000000
407.500000	38.606676	0.000000
407.600000	38.580441	0.000000
407.700000	38.554205	0.000000
407.800000	38.527968	0.000000
407.900000	38.501730	0.000000
408.000000	38.475491	0.000000
408.100000	38.449250	0.000000
408.200000	38.423009	0.000000
408.300000	38.396735	0.000000
408.400000	38.368637	0.000000
408.500000	38.340047	0.000000
408.600000	38.314304	0.000000
408.700000	38.294501	0.000000
408.800000	38.279173	0.000000
408.900000	38.266449	0.000000
409.000000	38.255286	0.000000
409.100000	38.244641	0.000000
409.200000	38.233470	0.000000
409.300000	38.220729	0.000000
409.400000	38.205374	0.000000
409.500000	38.185519	0.000000
409.600000	38.159729	0.000000
409.700000	38.131115	0.000000
409.800000	38.103020	0.000000
409.900000	38.076733	0.000000
410.000000	38.050471	0.000000
410.100000	38.024209	0.000000
410.200000	37.997945	0.000000
410.300000	37.971680	0.000000
410.400000	37.945414	0.000000
410.500000	37.919147	0.000000
410.600000	37.892879	0.000000
410.700000	37.866610	0.000000
410.800000	37.840339	0.000000
410.900000	37.814068	0.000000
411.000000	37.787795	0.000000
411.100000	37.761521	0.000000
411.200000	37.735246	0.000000
411.300000	37.708970	0.000000
411.400000	37.682693	0.000000
411.500000	37.656415	0.000000
411.600000	37.630136	0.000000
411.700000	37.603855	0.000000
411.800000	37.576373	0.000000
411.900000	37.547547	0.000000
412.000000	37.520680	0.000000
412.100000	37.499120	0.000000
412.200000	37.482907	0.000000
412.300000	37.469582	0.000000
412.400000	37.458096	0.000000
412.500000	37.447402	0.000000
412.600000	37.436450	0.000000
412.700000	37.424193	0.000000
412.800000	37.409582	0.000000
412.900000	37.391192	0.000000
413.000000	37.366605	0.000000
413.100000	37.338345	0.000000
413.200000	37.309767	0.000000
413.300000	37.283216	0.000000
413.400000	37.256917	0.000000
413.500000	37.230616	0.000000
413.600000	37.204315	0.000000
413.700000	37.178012	0.000000
413.800000	37.151708	0.000000
413.900000	37.125403	0.000000
414.000000	37.099095	0.000000
414.100000	37.071132	0.000000
414.200000	37.042385	0.000000
414.300000	37.016217	0.000000
414.400000	36.995857	0.000000
414.500000	36.980243	0.000000
414.600000	36.967328	0.000000
414.700000	36.956059	0.000000
414.800000	36.945386	0.000000
414.900000	36.934256	0.000000
415.000000	36.921620	0.000000
415.100000	36.906425	0.000000
415.200000	36.886898	0.000000
415.300000	36.861316	0.000000
415.400000	36.832704	0.000000
415.500000	36.804428	0.000000
415.600000	36.778048	0.000000
415.700000	36.751723	0.000000
415.800000	36.725397	0.000000
415.900000	36.699067	0.000000
416.000000	36.671078	0.000000
416.100000	36.642311	0.000000
416.200000	36.616135	0.000000
416.300000	36.595783	0.000000
416.400000	36.580172	0.000000
416.500000	36.567258	0.000000
416.600000	36.555987	0.000000
416.700000	36.545305	0.000000
416.800000	36.534159	0.000000
416.900000	36.521495	0.000000
417.000000	36.506258	0.000000
417.100000	36.486652	0.000000
417.200000	36.460997	0.000000
417.300000	36.432346	0.000000
417.400000	36.404074	0.000000
417.500000	36.377681	0.000000
417.600000	36.351335	0.000000
417.700000	36.324987	0.000000
417.800000	36.298633	0.000000
417.900000	36.270581	0.000000
418.000000	36.241807	0.000000
418.100000	36.215690	0.000000
418.200000	36.195444	0.000000
418.300000	36.179885	0.000000
418.400000	36.167005	0.000000
418.500000	36.155749	0.000000
418.600000	36.145060	0.000000
418.700000	36.133882	0.000000
418.800000	36.121157	0.000000
418.900000	36.105831	0.000000
419.000000	36.086050	0.000000
419.100000	36.060252	0.000000
419.200000	36.031544	0.000000
419.300000	36.003309	0.000000
419.400000	35.976910	0.000000
419.500000	35.950543	0.000000
419.600000	35.924174	0.000000
419.700000	35.897790	0.000000
419.800000	35.869640	0.000000
419.900000	35.840877	0.000000
420.000000	35.814887	0.000000
420.100000	35.794845	0.000000
420.200000	35.779385	0.000000
420.300000	35.766572	0.000000
420.400000	35.755347	0.000000
420.500000	35.744650	0.000000
420.600000	35.733422	0.000000
420.700000	35.720605	0.000000
420.800000	35.705140	0.000000
420.900000	35.685085	0.000000
421.000000	35.659078	0.000000
421.100000	35.630298	0.000000
421.200000	35.602137	0.000000
421.300000	35.574364	0.000000
421.400000	35.545451	0.000000
421.500000	35.518765	0.000000
421.600000	35.497656	0.000000
421.700000	35.481662	0.000000
421.800000	35.468487	0.000000
421.900000	35.457072	0.000000
422.000000	35.446355	0.000000
422.100000	35.435275	0.000000
422.200000	35.422770	0.000000
422.300000	35.407781	0.000000
422.400000	35.388674	0.000000
422.500000	35.363387	0.000000
422.600000	35.334797	0.000000
422.700000	35.306301	0.000000
422.800000	35.278782	0.000000
422.900000	35.249810	0.000000
423.000000	35.222548	0.000000
423.100000	35.200393	0.000000
423.200000	35.183869	0.000000
423.300000	35.170329	0.000000
423.400000	35.158710	0.000000
423.500000	35.147949	0.000000
423.600000	35.136982	0.000000
423.700000	35.124748	0.000000
423.800000	35.110182	0.000000
423.900000	35.091895	0.000000
424.000000	35.067359	0.000000
424.100000	35.039020	0.000000
424.200000	35.010282	0.000000
424.300000	34.982890	0.000000
424.400000	34.953933	0.000000
424.500000	34.926200	0.000000
424.600000	34.903098	0.000000
424.700000	34.885997	0.000000
424.800000	34.872092	0.000000
424.900000	34.860260	0.000000
425.000000	34.849436	0.000000
425.100000	34.838555	0.000000
425.200000	34.826551	0.000000
425.300000	34.812361	0.000000
425.400000	34.794766	0.000000
425.500000	34.770998	0.000000
425.600000	34.742958	0.000000
425.700000	34.714056	0.000000
425.800000	34.686684	0.000000
425.900000	34.657803	0.000000
426.000000	34.629693	0.000000
426.100000	34.605765	0.000000
426.200000	34.588037	0.000000
426.300000	34.573772	0.000000
426.400000	34.561722	0.000000
426.500000	34.550820	0.000000
426.600000	34.539999	0.000000
426.700000	34.528192	0.000000
426.800000	34.514332	0.000000
426.900000	34.497307	0.000000
427.000000	34.474310	0.000000
427.100000	34.446603	0.000000
427.200000	34.417604	0.000000
427.300000	34.390165	0.000000
427.400000	34.361408	0.000000
427.500000	34.333000	0.000000
427.600000	34.308359	0.000000
427.700000	34.289980	0.000000
427.800000	34.275363	0.000000
427.900000	34.263094	0.000000
428.000000	34.252103	0.000000
428.100000	34.241322	0.000000
428.200000	34.229681	0.000000
428.300000	34.216111	0.000000
428.400000	34.199541	0.000000
428.500000	34.177305	0.000000
428.600000	34.149953	0.000000
428.700000	34.120910	0.000000
428.800000	34.093336	0.000000
428.900000	34.064740	0.000000
429.000000	34.036101	0.000000
429.100000	34.010845	0.000000
429.200000	33.991815	0.000000
429.300000	33.976859	0.000000
429.400000	33.964373	0.000000
429.500000	33.953286	0.000000
429.600000	33.942527	0.000000
429.700000	33.931025	0.000000
429.800000	33.917708	0.000000
429.900000	33.901505	0.000000
430.000000	33.879992	0.000000
430.100000	33.853007	0.000000
430.200000	33.823962	0.000000
430.300000	33.796203	0.000000
430.400000	33.767791	0.000000
430.500000	33.738979	0.000000
430.600000	33.713197	0.000000
430.700000	33.693533	0.000000
430.800000	33.678254	0.000000
430.900000	33.665557	0.000000
431.000000	33.654370	0.000000
431.100000	33.643620	0.000000
431.200000	33.632233	0.000000
431.300000	33.619135	0.000000
431.400000	33.603253	0.000000
431.500000	33.581250	0.000000
431.600000	33.552062	0.000000
431.700000	33.522409	0.000000
431.800000	33.499157	0.000000
431.900000	33.482815	0.000000
432.000000	33.469402	0.000000
432.100000	33.457844	0.000000
432.200000	33.447066	0.000000
432.300000	33.435992	0.000000
432.400000	33.423549	0.000000
432.500000	33.408661	0.000000
432.600000	33.389768	0.000000
432.700000	33.364611	0.000000
432.800000	33.335969	0.000000
432.900000	33.307284	0.000000
433.000000	33.279688	0.000000
433.100000	33.250592	0.000000
433.200000	33.223127	0.000000
433.300000	33.200737	0.000000
433.400000	33.184080	0.000000
433.500000	33.170451	0.000000
433.600000	33.158770	0.000000
433.700000	33.147961	0.000000
433.800000	33.136946	0.000000
433.900000	33.124648	0.000000
434.000000	33.109990	0.000000
434.100000	33.091204	0.000000
434.200000	33.064078	0.000000
434.300000	33.033754	0.000000
434.400000	33.007129	0.000000
434.500000	32.988833	0.000000
434.600000	32.974381	0.000000
434.700000	32.962211	0.000000
434.800000	32.951244	0.000000
434.900000	32.940401	0.000000
435.000000	32.928604	0.000000
435.100000	32.914774	0.000000
435.200000	32.897774	0.000000
435.300000	32.872977	0.000000
435.400000	32.842881	0.000000
435.500000	32.814392	0.000000
435.600000	32.793817	0.000000
435.700000	32.778456	0.000000
435.800000	32.765705	0.000000
435.900000	32.754483	0.000000
436.000000	32.743711	0.000000
436.100000	32.732308	0.000000
436.200000	32.719194	0.000000
436.300000	32.703290	0.000000
436.400000	32.682385	0.000000
436.500000	32.655707	0.000000
436.600000	32.626631	0.000000
436.700000	32.598605	0.000000
436.800000	32.570316	0.000000
436.900000	32.541326	0.000000
437.000000	32.515094	0.000000
437.100000	32.494817	0.000000
437.200000	32.478373	0.000000
437.300000	32.463946	0.000000
437.400000	32.450996	0.000000
437.500000	32.438982	0.000000
437.600000	32.427363	0.000000
437.700000	32.415597	0.000000
437.800000	32.403144	0.000000
437.900000	32.390248	0.000000
438.000000	32.378219	0.000000
438.100000	32.366595	0.000000
438.200000	32.354834	0.000000
438.300000	32.342394	0.000000
438.400000	32.328734	0.000000
438.500000	32.313311	0.000000
438.600000	32.295428	0.000000
438.700000	32.271708	0.000000
438.800000	32.243575	0.000000
438.900000	32.214497	0.000000
439.000000	32.186965	0.000000
439.100000	32.157929	0.000000
439.200000	32.129659	0.000000
439.300000	32.105622	0.000000
439.400000	32.087840	0.000000
439.500000	32.073536	0.000000
439.600000	32.061453	0.000000
439.700000	32.050505	0.000000
439.800000	32.039608	0.000000
439.900000	32.027675	0.000000
440.000000	32.013622	0.000000
440.100000	31.996205	0.000000
440.200000	31.970692	0.000000
440.300000	31.940408	0.000000
440.400000	31.912303	0.000000
440.500000	31.892252	0.000000
440.600000	31.876116	0.000000
440.700000	31.861924	0.000000
440.800000	31.849131	0.000000
440.900000	31.837195	0.000000
441.000000	31.825571	0.000000
441.100000	31.813717	0.000000
441.200000	31.801089	0.000000
441.300000	31.788291	0.000000
441.400000	31.776346	0.000000
441.500000	31.764719	0.000000
441.600000	31.752868	0.000000
441.700000	31.740247	0.000000
441.800000	31.726313	0.000000
441.900000	31.710522	0.000000
442.000000	31.691567	0.000000
442.100000	31.664446	0.000000
442.200000	31.634019	0.000000
442.300000	31.607254	0.000000
442.400000	31.588607	0.000000
442.500000	31.572921	0.000000
