Dividing Wavelength (nm)	Blue Motor Position (mm)	Red Motor Position (mm)	
412.400000	39.923134	4.819470
412.500000	39.882877	4.833452
412.600000	39.841277	4.846919
412.700000	39.798771	4.859487
412.800000	39.755796	4.870422
412.900000	39.712789	4.880105
413.000000	39.670186	4.889216
413.100000	39.628426	4.898435
413.200000	39.587945	4.908445
413.300000	39.549180	4.919924
413.400000	39.512569	4.933556
413.500000	39.478204	4.950018
413.600000	39.445052	4.975615
413.700000	39.412904	5.018641
413.800000	39.381651	5.055096
413.900000	39.351180	5.074178
414.000000	39.321382	5.089704
414.100000	39.292145	5.102673
414.200000	39.263358	5.113869
414.300000	39.234912	5.124076
414.400000	39.206693	5.134076
414.500000	39.178593	5.144655
414.600000	39.150500	5.156593
414.700000	39.122303	5.169938
414.800000	39.093892	5.183624
414.900000	39.065155	5.197557
415.000000	39.035982	5.211673
415.100000	39.006261	5.225908
415.200000	38.976071	5.240196
415.300000	38.945764	5.254473
415.400000	38.915363	5.268765
415.500000	38.884875	5.283324
415.600000	38.854310	5.298042
415.700000	38.823678	5.312779
415.800000	38.792987	5.327389
415.900000	38.762247	5.341731
416.000000	38.731466	5.355660
416.100000	38.700654	5.369153
416.200000	38.669820	5.382554
416.300000	38.638973	5.395826
416.400000	38.608123	5.408885
416.500000	38.577277	5.421646
416.600000	38.546446	5.434023
416.700000	38.515638	5.445932
416.800000	38.484823	5.457287
416.900000	38.453772	5.467862
417.000000	38.422495	5.477099
417.100000	38.391047	5.485282
417.200000	38.359483	5.492789
417.300000	38.327856	5.500004
417.400000	38.296223	5.507306
417.500000	38.264637	5.515077
417.600000	38.233152	5.523697
417.700000	38.201825	5.533548
417.800000	38.170708	5.545010
417.900000	38.139858	5.558465
418.000000	38.109328	5.577383
418.100000	38.079173	5.607161
418.200000	38.049448	5.640009
418.300000	38.020208	5.667455
418.400000	37.991498	5.688330
418.500000	37.963220	5.706505
418.600000	37.935306	5.724171
418.700000	37.907726	5.743515
418.800000	37.880452	5.766744
418.900000	37.853455	5.799243
419.000000	37.826706	5.836479
419.100000	37.800176	5.867448
419.200000	37.773835	5.890926
419.300000	37.747656	5.911968
419.400000	37.721608	5.930874
419.500000	37.695663	5.947950
419.600000	37.669793	5.963498
419.700000	37.643968	5.977654
419.800000	37.618158	5.990317
419.900000	37.592336	6.001828
420.000000	37.566472	6.012546
420.100000	37.540537	6.022834
420.200000	37.514503	6.033052
420.300000	37.488359	6.043563
420.400000	37.462234	6.054727
420.500000	37.436154	6.066906
420.600000	37.410117	6.079205
420.700000	37.384122	6.090485
420.800000	37.358167	6.101865
420.900000	37.332249	6.114488
421.000000	37.306367	6.129494
421.100000	37.280518	6.148028
421.200000	37.254702	6.171399
421.300000	37.228915	6.226277
421.400000	37.203155	6.272161
421.500000	37.177422	6.289496
421.600000	37.151713	6.303225
421.700000	37.126025	6.314088
421.800000	37.100358	6.322822
421.900000	37.074709	6.330168
422.000000	37.049075	6.336864
422.100000	37.023456	6.343652
422.200000	36.997849	6.351270
422.300000	36.972254	6.360457
422.400000	36.946672	6.371952
422.500000	36.921104	6.386156
422.600000	36.895553	6.402448
422.700000	36.870020	6.420024
422.800000	36.844507	6.438086
422.900000	36.819015	6.455832
423.000000	36.793546	6.472459
423.100000	36.768103	6.487353
423.200000	36.742686	6.500957
423.300000	36.717298	6.514075
423.400000	36.691939	6.527510
423.500000	36.666613	6.542063
423.600000	36.641319	6.558537
423.700000	36.616061	6.577825
423.800000	36.590840	6.602939
423.900000	36.565658	6.632614
424.000000	36.540515	6.663559
424.100000	36.515415	6.694474
424.200000	36.490353	6.728295
424.300000	36.465276	6.759580
424.400000	36.440178	6.782651
424.500000	36.415070	6.800528
424.600000	36.389962	6.815775
424.700000	36.364863	6.829301
424.800000	36.339782	6.842013
424.900000	36.314730	6.854821
425.000000	36.289717	6.868632
425.100000	36.264752	6.884159
425.200000	36.239844	6.900512
425.300000	36.215005	6.917341
425.400000	36.190243	6.934539
425.500000	36.165568	6.951995
425.600000	36.140991	6.969599
425.700000	36.116520	6.987034
