Dividing Wavelength (nm)	Blue Motor Position (mm)	Red Motor Position (mm)	
334.000000	50.000000	3.036400
334.100000	49.990000	3.046507
334.200000	49.980000	3.056614
334.300000	49.970000	3.066720
334.400000	49.960000	3.076827
334.500000	49.950000	3.086934
334.600000	49.940000	3.097041
334.700000	49.930000	3.107148
334.800000	49.920000	3.117254
334.900000	49.910000	3.127361
335.000000	49.900000	3.137468
335.100000	49.890000	3.147575
335.200000	49.880000	3.157682
335.300000	49.870000	3.167788
335.400000	49.860000	3.177895
335.500000	49.850000	3.188002
335.600000	49.840000	3.198109
335.700000	49.830000	3.208216
335.800000	49.820000	3.218322
335.900000	49.810000	3.228429
336.000000	49.800000	3.238536
336.100000	49.790000	3.248643
336.200000	49.780000	3.258750
336.300000	49.770000	3.268856
336.400000	49.760000	3.278963
336.500000	49.750000	3.289070
336.600000	49.740000	3.299177
336.700000	49.730000	3.309284
336.800000	49.720000	3.319390
336.900000	49.710000	3.329497
337.000000	49.700000	3.339604
337.100000	49.690000	3.349711
337.200000	49.680000	3.359818
337.300000	49.670000	3.369924
337.400000	49.660000	3.380031
337.500000	49.650000	3.390138
337.600000	49.640000	3.400245
337.700000	49.630000	3.410352
337.800000	49.620000	3.420458
337.900000	49.610000	3.430565
338.000000	49.600000	3.440672
338.100000	49.590000	3.450779
338.200000	49.580000	3.460886
338.300000	49.570000	3.470992
338.400000	49.560000	3.481099
338.500000	49.550000	3.491206
338.600000	49.540000	3.501313
338.700000	49.530000	3.511420
338.800000	49.520000	3.521526
338.900000	49.510000	3.531633
339.000000	49.500000	3.541740
339.100000	49.490000	3.551847
339.200000	49.480000	3.561954
339.300000	49.470000	3.572060
339.400000	49.460000	3.582167
339.500000	49.450000	3.592274
339.600000	49.440000	3.602381
339.700000	49.430000	3.612488
339.800000	49.420000	3.622594
339.900000	49.410000	3.632701
340.000000	49.400000	3.642808
340.100000	49.390000	3.652915
340.200000	49.380000	3.663022
340.300000	49.370000	3.673128
340.400000	49.360000	3.683235
340.500000	49.350000	3.693342
340.600000	49.340000	3.703449
340.700000	49.330000	3.713556
340.800000	49.320000	3.723662
340.900000	49.310000	3.733769
341.000000	49.300000	3.743876
341.100000	49.290000	3.753983
341.200000	49.280000	3.764090
341.300000	49.270000	3.774196
341.400000	49.260000	3.784303
341.500000	49.250000	3.794410
341.600000	49.240000	3.804517
341.700000	49.230000	3.814624
341.800000	49.220000	3.824730
341.900000	49.210000	3.834837
342.000000	49.200000	3.844944
342.100000	49.190000	3.855051
342.200000	49.180000	3.865158
342.300000	49.170000	3.875264
342.400000	49.160000	3.885371
342.500000	49.150000	3.895478
342.600000	49.140000	3.905585
342.700000	49.130000	3.915692
342.800000	49.120000	3.925798
342.900000	49.110000	3.935905
343.000000	49.100000	3.946012
343.100000	49.090715	3.955396
343.200000	49.082544	3.963654
343.300000	49.075008	3.971271
343.400000	49.067632	3.978726
343.500000	49.059937	3.986503
343.600000	49.051447	3.995084
343.700000	49.041686	4.004949
343.800000	49.030176	4.016582
343.900000	49.016439	4.030465
344.000000	49.000000	4.047080
344.100000	48.963749	4.083718
344.200000	48.916891	4.131077
344.300000	48.893907	4.154306
344.400000	48.880256	4.168103
344.500000	48.868367	4.180119
344.600000	48.858033	4.190563
344.700000	48.849049	4.199643
344.800000	48.841206	4.207570
344.900000	48.834300	4.214550
345.000000	48.828122	4.220794
345.100000	48.822466	4.226510
345.200000	48.817126	4.231907
345.300000	48.811894	4.237195
345.400000	48.806565	4.242581
345.500000	48.800932	4.248274
345.600000	48.795241	4.254026
345.700000	48.790171	4.259150
345.800000	48.785659	4.263710
345.900000	48.781624	4.267788
346.000000	48.777990	4.271461
346.100000	48.774678	4.274808
346.200000	48.771608	4.277911
346.300000	48.768702	4.280848
346.400000	48.765881	4.283699
346.500000	48.763068	4.286542
346.600000	48.760182	4.289459
346.700000	48.757147	4.292527
346.800000	48.753882	4.295827
346.900000	48.750309	4.299438
